caso_de_uso,versao,caso_de_teste,classificacao,qtd_linhas_alteradas_no_modelo_mais_antigo,alteracoes_detectadas_na_metrica_da_ferramenta,total_linhas_no_modelo_mais_antigo
extracao_em_modo_llt,3,289,1,1,1,98
extracao_em_modo_llt,3,290,1,1,1,98
extracao_em_modo_llt,3,291,1,1,1,98
extracao_em_modo_llt,3,292,1,1,1,98
extracao_em_modo_llt,3,293,1,1,1,98
extracao_em_modo_llt,3,294,1,1,1,98
extracao_em_modo_llt,3,295,1,1,1,98
extracao_em_modo_llt,3,296,1,1,1,98
extracao_em_modo_llt,3,297,1,1,1,98
extracao_em_modo_llt,3,298,1,1,1,98
extracao_em_modo_llt,3,299,1,1,1,98
extracao_em_modo_llt,3,300,1,1,1,98
extracao_em_modo_llt,3,301,1,1,1,98
extracao_em_modo_llt,3,302,1,1,1,98
extracao_em_modo_llt,3,303,1,1,1,98
extracao_em_modo_llt,3,304,1,1,1,98
extracao_em_modo_llt,3,305,1,1,1,98
extracao_em_modo_llt,3,306,1,1,1,98
extracao_em_modo_llt,3,307,1,1,1,98
extracao_em_modo_llt,3,308,1,1,1,98
extracao_em_modo_llt,3,309,1,1,1,98
extracao_em_modo_llt,3,310,1,1,1,98
extracao_em_modo_llt,3,311,1,1,1,98
extracao_em_modo_llt,3,312,1,1,1,98
extracao_em_modo_llt,3,313,1,1,1,98
extracao_em_modo_llt,3,314,1,1,1,98
extracao_em_modo_llt,3,315,1,1,1,98
extracao_em_modo_llt,3,316,1,1,1,98
extracao_em_modo_llt,3,317,1,1,1,98
extracao_em_modo_llt,3,318,1,1,1,98
extracao_em_modo_llt,3,319,1,1,1,98
extracao_em_modo_llt,3,320,1,1,1,98
extracao_em_modo_llt,3,321,1,1,1,98
extracao_em_modo_llt,3,322,1,1,1,98
extracao_em_modo_llt,3,323,1,1,1,98
extracao_em_modo_llt,3,324,1,1,1,98
extracao_em_modo_llt,3,325,1,1,1,98
extracao_em_modo_llt,3,326,1,1,1,98
extracao_em_modo_llt,3,327,1,1,1,98
extracao_em_modo_llt,3,328,1,1,1,98
extracao_em_modo_llt,3,329,1,1,1,98
extracao_em_modo_llt,3,330,1,1,1,98
extracao_em_modo_llt,3,331,1,1,1,98
extracao_em_modo_llt,3,332,1,1,1,98
extracao_em_modo_llt,3,333,1,1,1,98
extracao_em_modo_llt,3,334,1,1,1,98
extracao_em_modo_llt,3,335,1,1,1,98
extracao_em_modo_llt,3,336,1,1,1,98
extracao_em_modo_llt,3,337,1,1,1,98
extracao_em_modo_llt,3,338,1,1,1,98
extracao_em_modo_llt,3,339,1,1,1,98
extracao_em_modo_llt,3,340,1,1,1,98
extracao_em_modo_llt,3,341,1,1,1,98
extracao_em_modo_llt,3,342,1,1,1,98
extracao_em_modo_llt,3,343,1,1,1,98
extracao_em_modo_llt,3,344,1,1,1,98
extracao_em_modo_llt,3,345,1,1,1,98
